Region,District,FirstNation,Community,Water System Name,System Type,Advisory Type,Advisory Reasons,Date Set,Date Revoked ,BAND_NUMBER,BAND_NAME,LONGITUDE,LATITUDE,COORD_SYS,
Ontario,Sioux Lookout,SLATE FALLS NATION,New Slate Falls,Pumphouse No. 5 ,PWS,1,"2,3,4",2004-07-07,None,,,,,,
Ontario,Thunder Bay,SHOAL LAKE NO.40,Shoal Lake No. 40,Pumphouse No. 5 ,PWS,1,"3,4",1997-02-18,None,,,,,,
Ontario,Sioux Lookout,SLATE FALLS NATION,New Slate Falls,Pumphouse No. 6 ,PWS,1,"2,3,4",2004-07-07,None,,,,,,
Ontario,Sioux Lookout,SLATE FALLS NATION,New Slate Falls,Pumphouse No. 7 ,PWS,1,"2,3,4",2004-07-07,None,,,,,,
Ontario,Sioux Lookout,SLATE FALLS NATION,New Slate Falls,Pumphouse No. 8,PWS,1,"2,3,4",2004-07-07,None,,,,,,
Ontario,Sioux Lookout,SLATE FALLS NATION,New Slate Falls,Pumphouse No. 9 ,PWS,1,"2,3,4",2004-07-07,None,,,,,,
Ontario,Thunder Bay,SHOAL LAKE NO.40,Shoal Lake No. 40,Pumphouse No. 9 ,PWS,1,"2, 3",1997-02-18,None,,,,,,
Pacific,"Coastal District, Health Canada",QUALICUM FIRST NATION,Qualicum,Qualicum Band Office ,PWS,1,"1,4,6",2007-06-15,2008-08-15,,,,,,
Pacific,"Coastal District, Health Canada",QUALICUM FIRST NATION,Qualicum,Qualicum/Horne Lake Water District ,PWS,1,4,2007-07-29,2007-07-31,,,,,,
Pacific,"Central District, Health Canada",UPPER NICOLA,Quilchena,Quilchena,PWS,1,4,2006-06-02,2006-06-16,,,,,,
Pacific,Central District,UPPER NICOLA,Quilchena ,Quilchena,PWS,1,4,2010-09-02,2010-09-10,,,,,,
Pacific,Central District,UPPER NICOLA,Quilchena,Quilchena,PWS,1,4,2011-08-18,2011-09-12,,,,,,
Ontario,Southern,MOHAWKS OF THE BAY OF QUINTE,Tyendinaga,Quinte Mohawk School and Daycare ,SPWS,1,2,2008-02-02,2010-02-26,,,,,,
