Region,District,FirstNation,Community,Water System Name,System Type,Advisory Type,Advisory Reasons,Date Set,Date Revoked ,BAND_NUMBER,BAND_NAME,LONGITUDE,LATITUDE,COORD_SYS,
Manitoba,,Pauingassi,Pauingassi,Pauingassi,PWS,1,q,2014-02-12,2014-03-25,,,,,,
Manitoba,,Pauingassi,Pauingassi,Pauingassi,PWS,1,"3,12",2014-04-26,2014-06-02,,,,,,
Manitoba,,Pauingassi,Pauingassi,Pauingassi,PWS,1,"3,12",2014-06-06,2014-07-09,,,,,,
Manitoba,,Pauingassi,Pauingassi,Pauingassi,PWS,1,O,2014-09-24,None,,,,,,
Alberta,Treaty 6,Pigeon Lake,Pigeon Lake,Pauline's Coffee Shop & Daystone Convenience ,SPWS,1,4,2008-04-18,2008-05-09,,,,,,
Alberta,Treaty 6,Pigeon Lake,Pigeon Lake,Pauline's Coffee Shop & Daystone Convenience ,SPWS,1,4,2008-05-20,2008-06-13,,,,,,
Ontario,Thunder Bay,Pays Plat,Pays plat,Pays plat,PWS,1,4,2008-07-24,2008-07-30,,,,,,
Ontario,Thunder Bay,Pays Plat,Pays plat,Pays plat,PWS,1,2,2014-09-10,2014-09-13,,,,,,
Ontario,Thunder Bay,Pays Plat,Pays plat,Pays plat,PWS,1,2,2014-09-28,2014-09-30,,,,,,
Ontario,Thunder Bay,Pays Plat,Pays plat,Pays plat,PWS,1,6,2015-12-17,2015-12-23,,,,,,
Ontario,Moose Factory,WEENUSK,Peawanuck,Peawanuck ,PWS,1,3,2006-02-15,None,,,,,,
Saskatchewan,,Mistawasis,Pechawis,Pechawis ,PWS,1,3,2007-10-26,2007-11-02,,,,,,
Saskatchewan,,Mistawasis,Pechawis,Pechawis ,PWS,1,2,2011-01-27,2011-02-09,,,,,,
Saskatchewan,,Mistawasis,Pechawis,Pechawis ,PWS,1,2,2011-10-26,2012-01-24,,,,,,
Saskatchewan,,Peepeekisis ,Peepeekisis,Peepeekisis Main ,PWS,1,3,2005-04-08,2007-08-01,,,,,,
Saskatchewan,,Peepeekisis ,Peepeekisis,Peepeekisis Main ,PWS,1,2,2009-10-21,2010-11-15,,,,,,
Saskatchewan,,Peepeekisis ,Peepeekisis,Peepeekisis Secondary ,PWS,1,1,2011-04-12,2011-05-18,,,,,,
Saskatchewan,,Peepeekisis ,Peepeekisis,Peepeekisis Secondary ,PWS,1,5,2011-10-21,2011-11-15,,,,,,
Saskatchewan,,Peepeekisis ,Peepeekisis,Peepeekisis Secondary ,PWS,1,3,2013-10-23,2013-11-08,,,,,,
Saskatchewan,,Peepeekisis ,Peepeekisis,Peepeekisis Secondary ,PWS,1,8,2015-02-05,None,,,,,,
Ontario,Sioux Lookout,LAC SEUL,Pelican Falls High School,Pelican Falls High School ,PWS,1,"2,3",2004-12-30,2005-01-07,,,,,,
Ontario,Sioux Lookout,LAC SEUL,Pelican Falls High School,Pelican Falls High School ,PWS,1,2,2006-06-28,2006-09-25,,,,,,
Ontario,Sioux Lookout,LAC SEUL,Pelican Falls High School,Pelican Falls High School ,PWS,1,4,2007-08-01,2007-08-30,,,,,,
Ontario,Sioux Lookout,LAC SEUL,Pelican Falls High School,Pelican Falls High School ,PWS,1,6,2014-05-21,2014-05-26,,,,,,
Ontario,Sioux Lookout,LAC SEUL,Pelican Falls High School,Pelican Falls High School ,PWS,1,2,2014-07-16,2014-07-21,,,,,,
Ontario,Sioux Lookout,LAC SEUL,Pelican Falls High School,Pelican Falls High School ,PWS,1,6,2014-08-08,2014-08-09,,,,,,
Ontario,Sioux Lookout,LAC SEUL,Pelican Falls High School,Pelican Falls High School ,PWS,1,2,2015-07-13,2015-07-17,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,DNC,3,2006-07-04,2006-07-04,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,1,3,2006-07-04,2006-07-12,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,1,2,2007-02-20,2007-02-28,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,1,2,2010-05-02,2010-05-07,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,1,2,2010-08-23,2010-08-27,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,1,2,2010-09-18,2010-09-30,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,1,4,2011-02-09,2011-02-16,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,1,2,2011-02-16,2011-02-25,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,1,5,2011-07-18,2011-08-04,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,1,2,2012-05-25,2012-06-11,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,1,5,2013-05-15,2013-05-31,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,1,2,2013-07-08,2013-07-16,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,1,2,2013-07-24,2013-08-19,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,1,2,2013-08-28,2013-09-16,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,1,"2,5 ",2014-01-15,2014-01-23,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,1,2,2014-05-22,2014-05-30,,,,,,
Saskatchewan,,Pelican Lake,Pelican Lake,Pelican Lake,PWS,1,2,2015-10-02,2015-10-14,,,,,,
Saskatchewan,,Peter Ballantyne,Pelican Narrows,Pelican Narrows,PWS,1,2,2012-06-27,2012-07-04,,,,,,
Saskatchewan,,Peter Ballantyne,Pelican Narrows,Pelican Narrows,PWS,1,4,2015-08-25,2015-11-10,,,,,,
Saskatchewan,,Peter Ballantyne ,Pelican Narrows,Pelican Narrows,PWS,1,5,2007-04-20,2007-05-09,,,,,,
Saskatchewan,,Peter Ballantyne ,Pelican Narrows,Pelican Narrows,PWS,1,2,2014-07-12,2014-07-18,,,,,,
Saskatchewan,,Peter Ballantyne,Pelican Narrows,Pelican Narrows ,SPWS,1,4,2015-08-25,None,,,,,,
Saskatchewan,,Cumberland House ,Pemmican Portage ,Pemmican Portage ,PWS,BWO,3,2010-06-29,2010-07-04,,,,,,
Saskatchewan,,Cumberland House ,Pemmican Portage,Pemmican Portage ,PWS,1,2,2010-09-10,2010-09-17,,,,,,
Saskatchewan,,Cumberland House ,Pemmican Portage ,Pemmican Portage ,PWS,1,2,2012-06-27,2012-07-04,,,,,,
Quebec,,Innu/Pessamit,Pessamit,PES,PWS,1,"2,6",2013-01-22,2013-02-13,,,,,,
Quebec,,Innu/Pessamit,Pessamit,PES,PWS,1,"2,6",2013-03-06,2013-03-28,,,,,,
Quebec,,Innu/Pessamit,Pessamit,PES,PWS,1,"2,3",2013-04-23,2013-05-09,,,,,,
Quebec,,Innu/Pessamit,Pessamit,PES,PWS,1,"6,8",2013-08-05,2013-08-29,,,,,,
Quebec,,Innu/Pessamit,Pessamit,PES,PWS,1,"2,6",2014-05-05,2014-05-16,,,,,,
Quebec,,Innu/Pessamit,Pessamit,PES,PWS,1,"2,6",2014-08-16,2014-08-27,,,,,,
Quebec,,Innu/Pessamit,Pessamit,PES,PWS,1,2,2014-09-24,2015-03-12,,,,,,
Quebec,,Kahnawake,Kahnwake,KAH,PWS,1,"1,5",2008-01-11,2008-01-15,,,,,,
Quebec,,Kahnawake,Kahnwake,KAH,PWS,1,"1,5",2011-05-20,2011-05-23,,,,,,
Quebec,,Kahnawake,Kahnwake,KAH,PWS,1,"2,3",2011-06-05,2011-06-06,,,,,,
Quebec,,Kanesatake(OKA),Kanesatake(OKA), High School ,SPWS,1,8,2012-11-21,2012-12-10,,,,,,
Quebec,,Kanesatake(OKA),Kanesatake(OKA),Riverside Elders Home ,SPWS,1,"1,6",2012-08-03,2013-05-24,,,,,,
Quebec,,Listuguj Mi'gmaq Government ,Listuguj,LIS,PWS,DNC,8,2006-12-04,2006-12-07,,,,,,
Quebec,,Long Point First Nation ,Long Point First Nation (Winneway),LPF,PWS,1,"2,3",2006-07-18,2006-07-24,,,,,,
Quebec,,Long Point First Nation ,Long Point First Nation (Winneway),LPF,PWS,1,2,2015-03-03,2015-03-06,,,,,,
Quebec,,Manawan,Manawan,MAN,PWS,1,6,2011-01-19,2011-01-21,,,,,,
